"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1926936321676771512","Mon May 26 09:39:54 +0000 2025","4486","Even Macron's wife can't stand this pathetic clown. Here she slaps him in public Well-deserved. https://t.co/qqQFahutOF","1926936321676771512","https://pbs.twimg.com/amplify_video_thumb/1926907196622704640/img/6jNw31u7BH0zh0Io.jpg","","en","","64","217","652","https://x.com/undefined/status/1926936321676771512","801203059359678464",
"1926957059917893722","Mon May 26 11:02:18 +0000 2025","69","Lil' Macron got bitch-slapped https://t.co/V1ICCrC8Te","1926957059917893722","https://pbs.twimg.com/amplify_video_thumb/1926922806383575040/img/2Hjex7kBZRcVL7dr.jpg","","en","","5","11","14","https://x.com/undefined/status/1926957059917893722","1288487603130507265",
"1927023129936711692","Mon May 26 15:24:51 +0000 2025","1172","Macron is getting MAN handled by his wife https://t.co/aR7l37HMvR","1927023129936711692","https://pbs.twimg.com/ext_tw_video_thumb/1926969238004039680/pu/img/zr90qv7LRA9R6lH2.jpg","","en","","11","109","131","https://x.com/undefined/status/1927023129936711692","95994080",
"1926964172304122260","Mon May 26 11:30:34 +0000 2025","774","Someone needs to slap some sense into Macron. His wife? Ok. Since you asked so nicely. Watch this crazy footage of her slapping him and then refusing to take his arm after he extended it to her. https://t.co/vojLfconwG","1926964172304122260","https://pbs.twimg.com/amplify_video_thumb/1926963763338498048/img/F05i7lMW4Vb239yp.jpg","","en","","9","62","117","https://x.com/undefined/status/1926964172304122260","15930061",
"1927019811281723475","Mon May 26 15:11:39 +0000 2025","103","Poor Macron. The whole world is laughing at him so much that there s even a meme coin named SLAPCOIN. I LOVE THE INTERNET! https://t.co/wgwOd9H3bD https://t.co/NdiCUSZZJX","1927019811281723475","https://pbs.twimg.com/tweet_video_thumb/Gr4mEyzWcAEnycK.jpg","","en","","5","14","24","https://x.com/undefined/status/1927019811281723475","243318995",
"1927074889615167989","Mon May 26 18:50:31 +0000 2025","156","WWIII start Macron and her wife Brigette French President Emmanuel Macron got slapped from his wife Brigette in full public &amp; Paparazzi #Macron https://t.co/DCFMOKRvF3","1927074889615167989","https://pbs.twimg.com/ext_tw_video_thumb/1927074812532305920/pu/img/g5ImR2tFF3sNaOcU.jpg","","en","","14","51","53","https://x.com/undefined/status/1927074889615167989","1268089611680714753",
"1927053724905525630","Mon May 26 17:26:25 +0000 2025","72","Today we are all Brigitte Macron. https://t.co/xcwkuBk78r","1927053724905525630","https://pbs.twimg.com/media/Gr5FJs1W0AAdGC3.jpg","","en","","1","17","7","https://x.com/undefined/status/1927053724905525630","73937639",
"1927055476279116080","Mon May 26 17:33:23 +0000 2025","35","President Macron gets the five finger special from his wife! https://t.co/x6tgKyNVrt","1927055476279116080","https://pbs.twimg.com/ext_tw_video_thumb/1927055459950772225/pu/img/1OhLg5s6RIRq0NAG.jpg","","en","","0","14","5","https://x.com/undefined/status/1927055476279116080","1568392726122561537",
"1926940186841137241","Mon May 26 09:55:16 +0000 2025","416","What Brigitte Macron is likely doing here is wiping cocaine powder from Macron's nose. It is not a slap . Look carefully. He is one of the Cocaine Alliance. https://t.co/lcGlDV9SMc","1926940186841137241","https://pbs.twimg.com/ext_tw_video_thumb/1926940164036714496/pu/img/j5GIzeKJtpUh7he-.jpg","","en","","19","50","133","https://x.com/undefined/status/1926940186841137241","856590732907433985",
"1926952414017429729","Mon May 26 10:43:51 +0000 2025","873","French President Macron gets slapped by his wife Brigitte Macron when they arrive in Vietnam People are making fun of the president getting slapped by his wife. What if the gender is reversed? Who knows he might be a victim of #domesticviolence. https://t.co/K3GHZBghFk","1926952414017429729","https://pbs.twimg.com/amplify_video_thumb/1926950710630875136/img/Jk900trQnPXucvSO.jpg","","en","","37","132","224","https://x.com/undefined/status/1926952414017429729","599873118",
